id,model_id,part_name,part_type,render_order,position_x,position_y,position_z,dimension_width,dimension_height,dimension_depth,material_name,color_override,metalness,roughness,opacity,render_condition,created_at
076b9619-56eb-49a6-8a2b-5e7cedad1cae,233fc002-1ea4-4d6b-bc98-08491905c3bd,Door 2,box,3,-width / 8,0,depth / 2 + 0.01,width / 4 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
076c798d-770f-462e-b00f-87fe63e1b1f6,5c56e7f0-6fdc-461b-bf2d-cb4df3c1cca4,Drawer 2,box,4,0,0.10,depth / 2 + 0.01,width - 0.02,0.20,0.02,door,doorColor,,,1.00,,2025-10-08 16:21:41.621901+00
07acc2ae-f810-4d1b-bcda-b5d2bc15d8ee,678d0eca-8539-42b0-82c9-a41ea45b92db,Drawer 2,box,3,0,height * 0.3,depth/2 + 0.01,width/3 - 0.02,height * 0.2,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
07ffe3c1-1592-4917-9f1d-28de1473a259,932bc10c-f028-4375-8593-8d2f9bb30fbb,Table Top,box,1,0,0,0,width,0.05,depth * 1.5,wood,cabinetMaterial,,,1.00,,2025-10-08 20:13:16.422946+00
08fd47ba-4623-413f-83d4-e330461fbfc4,ecf82b10-3677-4226-9abb-4e9d4644668f,Door Left,box,2,-width/4,0,depth/2 + 0.01,width/2 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:53.546878+00
09a62fc9-ac13-4b19-babe-a148e315cb3d,0d0bc972-4fbb-465d-8189-5671631d717c,Counter,box,2,0,height * 0.32,0,width,height * 0.05,depth,counter,counterColor,,,1.00,,2025-10-08 16:52:53.546878+00
09c0a108-0d7b-4f7e-93f5-0c40ad73d444,3fc2f0c1-75a5-4ea3-bb9f-e9f64b5ea443,Left Bowl,box,1,-width / 4,-0.05,0,width / 2 - 0.10,height,depth - 0.10,handle,#c0c0c0,,,1.00,,2025-10-08 16:17:02.441798+00
09dd21bd-1ff8-49b0-a756-fb7248e807dd,6e958c7e-fffd-48b1-b68b-b41ad95eee7b,Back,box,2,0,height * 0.15,-depth * 0.25,width,height * 0.6,depth * 0.2,cabinet_body,#3A6EA5,,,1.00,,2025-10-08 16:51:41.19204+00
0a95b154-c45e-4a17-9c01-3c06bf579f63,ffbcf071-8b29-48ac-b770-106d34f019bb,Door Left,box,2,-width/4,0,depth/2 + 0.01,width/2 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
0aaeac48-2a10-468f-bff1-052a75203db0,d7ccdbc2-01dd-4d96-911b-d0620f1f5dfb,Door Right,box,3,width/4,0,depth/2 + 0.01,width/2 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:38.215415+00
0ac59043-8711-4622-8fd8-a275cdb48bcc,aabf5b36-17e8-494a-b660-302c25f389a9,Worktop,box,1,0,0,0,width,height,depth,cabinet_body,worktopColor,,,1.00,,2025-10-08 16:17:02.441798+00
0acaa630-19c8-4af9-8b19-8834d3451da2,f8ac534e-6911-477b-bbf3-5c66afa03ed8,Door,box,3,0,plinthHeight / 2,depth / 2 + 0.01,width - 0.02,doorHeight,0.02,door,doorMaterial,,,1.00,,2025-10-08 15:51:04.652333+00
0badbd3a-a938-4aca-8603-62869aadf368,a7eaee97-ddd8-4bf6-92b2-a7444b87fb10,Right Door,box,4,width / 3,0,depth / 2 + 0.01,width / 3 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
0c4516ec-755f-411c-a4bb-d2e908128879,5c56e7f0-6fdc-461b-bf2d-cb4df3c1cca4,Plinth,box,1,0,-height / 2 + 0.075,0,width,0.15,depth - 0.05,plinth,plinthColor,,,1.00,,2025-10-08 16:21:41.621901+00
0c9e661e-4622-493b-b1dd-553b40706902,03846780-e5ea-4d9e-8b30-c9400090f7d0,Left Door,box,2,-width / 4,0,depth / 2 + 0.01,width / 2 + 0.05,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
0d3288b0-c000-4886-802d-d22f43d0ada6,4e51050f-bcc9-40d9-9d76-8bd927f038d9,Center Glass,box,2,0,0,depth * 0.15,width * 0.5 - 0.10,height - 0.10,0.06,handle,#E6E6FA,,,1.00,,2025-10-08 16:53:07.709429+00
0deb45b5-dc0e-489f-9e31-fb28ac3f54f7,3ff7c696-6065-470b-9911-08f56f31e8a6,Body,box,1,0,0,0,width,height,depth,cabinet_body,cabinetColor,,,1.00,,2025-10-08 16:50:15.91125+00
0e6ff9b6-17ad-4b4e-bad5-ed32b33e7dee,60f2345b-4c36-4f2f-95d0-493b16b7374a,Stand Base,box,3,0,-height / 2 - 0.1,depth / 3,width / 3,0.2,depth / 2,handle,#2F4F4F,,,1.00,,2025-10-08 20:13:16.422946+00
0f526496-f014-4f28-b086-ce2c02898472,233fc002-1ea4-4d6b-bc98-08491905c3bd,Door 4,box,5,width * 3/8,0,depth / 2 + 0.01,width / 4 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
0fb8659f-5985-49a6-b57e-08080ecf17bb,d2960747-e61c-4df5-b56d-4a06f513d9c1,Cabinet Body,box,1,0,0,0,width,height,depth,cabinet_body,cabinetColor,,,1.00,,2025-10-08 16:07:57.673274+00
10176824-2090-4f15-ae46-f083d777c158,b1d275f7-078c-4c24-b657-1d8093504ce3,Tap,box,2,0,height + 0.10,-depth/4,0.03,0.15,0.03,handle,#808080,,,1.00,,2025-10-08 17:10:09.489775+00
109953c6-af37-413b-b1ba-74a630b01418,cef957ae-dd2c-4af6-b5bf-1b912b9d168a,Handle,box,4,width / 2 - 0.18,plinthHeight / 2 + cabinetHeight / 2 - 0.1,depth / 2 + 0.03,0.18,0.02,0.03,handle,handleMaterial,,,1.00,,2025-10-08 15:51:04.652333+00
10b4fce9-160d-4f54-b4f0-80a957aada85,e923b001-1a72-4ed9-8cd9-d22b501c0182,Frame,box,1,0,0,0,width,height,depth,door,#FFFFFF,,,1.00,,2025-10-08 16:53:07.709429+00
127a12fd-2e3e-4692-9a82-83a373ee1ee4,bc7a55a4-be39-4b75-b604-1a86951e191b,Leg 2,box,3,width/2 - 0.05,-height * 0.25,-depth/2 + 0.05,0.08,height * 0.5,0.08,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:38.215415+00
1290dfec-715c-4c11-98ea-d1d30da53695,de555033-f7e3-4be5-a10b-0b9033098fca,Lower Door,box,7,0,-height * 0.35,depth/2 + 0.01,width - 0.02,height * 0.2,0.02,door,doorColor,,,1.00,,2025-10-08 17:10:22.990597+00
129ba8b1-fec0-41f0-82bd-23d261751d5f,861c0c03-ac3a-4acf-9d01-d6068c77c71b,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,cabinetColor,,,1.00,,2025-10-08 16:52:53.546878+00
1327ccab-142e-4aad-852c-487df1d793c1,7e845283-165b-4a1e-95e6-565adc87fc60,Lint Filter,box,11,0,height * 0.15,depth / 2 + 0.012,0.12,0.04,0.002,door,#ff6b3d,,,0.90,,2025-10-08 20:13:51.848363+00
137429e9-5bf6-459b-b32e-ccd17fdf2103,6404a530-2cdc-406e-b957-46de153409c3,Drawer 4,box,5,0,height/2 - 0.50,depth/2 + 0.01,width - 0.02,0.18,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
140b0eb0-89d3-429d-a196-fa9f9204bd0c,b131724a-219a-4011-8a42-02ba2d18fbc2,Drawer 3,box,4,0,height/2 - 0.37,depth/2 + 0.01,width - 0.02,0.22,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
142659e5-716a-46af-86ba-bc2fc30a163b,80c00752-26fa-43a7-8cea-d15766482a0b,Door,box,2,0,0,depth/2 + 0.01,width * 0.7,height * 0.7,0.02,handle,#E0E0E0,,,1.00,,2025-10-08 16:52:53.546878+00
145570dd-0670-4120-bacb-6f891f4a0107,a42ba33e-850e-4f3a-8919-b6a568953a14,Drawer 1,box,3,0,-0.15,depth / 2 + 0.01,width - 0.02,0.20,0.02,door,doorColor,,,1.00,,2025-10-08 16:21:41.621901+00
151d458e-ed50-4110-a08e-2f3a04787aa3,a6bf00b1-c863-45ed-8031-6674b836812a,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,#2F4F4F,,,1.00,,2025-10-08 16:51:41.19204+00
159a6a43-7a13-4b05-87ce-b3818a6c0940,15e34016-91ff-4c63-9adb-de938fbf7361,Right Panel,box,2,width/4,0,0,width/2 - 0.01,height,depth,door,doorColor,,,1.00,,2025-10-08 16:53:07.709429+00
15e940d5-f868-40e8-8807-987d0dec43c5,61b345fb-f418-469d-ad5b-96826f1b9609,Handle,box,2,width/2 - 0.05,0,depth/2 + 0.03,0.03,0.15,0.05,handle,#C0C0C0,,,1.00,,2025-10-08 16:53:07.709429+00
165c1add-dba7-42c5-bdad-83fcb87f5d3c,c8d89312-c0b3-41e1-a4c0-7d18f770ca92,Back,box,2,0,height * 0.2,-depth * 0.2,width,height * 0.5,depth * 0.2,cabinet_body,#000000,,,1.00,,2025-10-08 16:52:06.676597+00
16afc248-f5cd-402f-9bb3-719d53038685,6a45d0f6-5116-409a-8ab9-aacebd466a31,Side handle,box,8,cornerDepth - legLength / 2 + 0.03,plinthHeight / 2,-0.25,0.02,0.15,0.02,handle,handleColor,0.80,0.20,1.00,,2025-10-08 11:23:36.663103+00
16cd17f7-f9ff-46e3-96df-c6b261fbfe50,80c00752-26fa-43a7-8cea-d15766482a0b,Body,box,1,0,0,0,width,height,depth,cabinet_body,#FFFFFF,,,1.00,,2025-10-08 16:52:53.546878+00
17bb5dc6-c4ef-4bf4-8fd3-328f72c5fe5b,cd750faf-3986-4305-87fb-26d30dbb0b35,Door 1,box,2,-width/3,0,depth/2 + 0.01,width/3 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:51:41.19204+00
1947e2bc-5d9e-426b-ae02-9fab04f2716b,c509bed1-9882-44d5-8e44-be6c625cf0b6,Left Arm,box,3,-width / 2 + 0.2,0,0,0.4,height,depth * 1.5 - 0.2,fabric,cabinetMaterial,,,1.00,,2025-10-08 20:13:16.422946+00
197aac90-2510-4d48-ac2e-9921974def16,dee1b997-eb19-4228-b69f-7dff6204ae01,Cabinet X-leg,box,1,0,0,cornerDepth / 2 - legLength / 2,legLength,height,cornerDepth,cabinet,cabinetMaterial,,,1.00,,2025-10-08 11:23:36.663103+00
19fae840-cdb6-4655-aa2f-cac291d8db80,38bcc725-42f6-40d4-a7c9-26e508488524,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,#F5F5DC,,,1.00,,2025-10-08 16:51:11.543287+00
1a37ebb3-d7ac-4bd9-9b3b-9744cf1c82d5,964e5f6b-ad77-4fa1-97ae-e8b749432420,Back,box,2,0,height * 0.15,-depth * 0.25,width,height * 0.6,depth * 0.2,cabinet_body,#3A6EA5,,,1.00,,2025-10-08 16:51:41.19204+00
1bdcf2a9-49a3-4a65-bf6c-c4de4ff7f49b,c509bed1-9882-44d5-8e44-be6c625cf0b6,Sofa Back,box,2,0,0,-depth * 1.5 / 2 + 0.2,width,height,0.4,fabric,cabinetMaterial,,,1.00,,2025-10-08 20:13:16.422946+00
1c70f273-551a-4f02-82d4-8c94791b228d,34555b19-d1de-4afc-8cc0-b4763a45adad,Headboard,box,3,0,height * 0.5,-depth/2 + 0.05,width,height,0.10,door,#8B4513,,,1.00,,2025-10-08 16:50:52.815401+00
1d74abe1-f0c2-4ec2-bbf4-a860cd32b380,701c19a3-0083-41d2-aec8-96c540a1833d,handle_side,box,8,cornerDepth - legLength/2 + 0.03,plinthHeight/2,-0.25,0.02,0.15,0.02,handle,,,,1.00,,2025-10-08 10:51:01.108456+00
1e696ed4-895a-4b18-9cb6-1a7019010c34,8ce55eaa-03fa-4005-821d-d69ff2e920b8,Body,box,1,0,0,0,width,height,depth,cabinet_body,#FFFFFF,,,1.00,,2025-10-08 16:52:53.546878+00
1e8e21d7-aecb-4629-b974-b205f6600c4e,f8ac534e-6911-477b-bbf3-5c66afa03ed8,Cabinet Body,box,2,0,plinthHeight / 2,0,width,cabinetHeight,depth,cabinet_body,cabinetMaterial,,,1.00,,2025-10-08 15:51:04.652333+00
1ea1a152-1a51-4988-91ec-487da24289fa,a6959e02-3fe1-4726-8539-f25526d5ac4b,Left Door,box,2,-width / 4,0,depth / 2 + 0.01,width / 2 - 0.02,height - 0.02,0.02,door,#c0c0c0,,,1.00,,2025-10-08 16:16:19.97502+00
1eb29203-bc0e-40ce-b914-d485d815dfa0,7e771285-9a2d-4de8-a432-8b221345c781,Base,box,1,0,-height/2,0,width,height * 0.3,depth,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:50:52.815401+00
1f721ab1-2cf2-4794-9963-4ad9924051cb,d91a5c3a-2af9-4c8f-8cb3-a62f84cef732,Left Wall,box,2,-width / 2 + 0.02,0,0,0.01,height - 0.2,depth - 0.1,shower_glass,#E6F7FF,,,0.30,,2025-10-08 20:21:21.129584+00
1f8e6040-a64f-4f2b-acb9-f55f8b273aa3,31aad16f-6742-437c-a580-3622b62b16fd,Door 2,box,3,width/4,0,depth/2 + 0.01,width/2 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:38.215415+00
1f9c0219-d27a-4c7d-a9dd-4ecaa34d8d44,6404a530-2cdc-406e-b957-46de153409c3,Drawer 6,box,7,0,height/2 - 0.10,depth/2 + 0.01,width - 0.02,0.18,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
20db5c08-7b76-44d1-a4ba-9962e402cb72,229fe763-0333-4310-a832-134e72d17095,Top,box,1,0,height/2 - 0.02,0,width,0.04,depth,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:06.676597+00
20f95e10-86cc-4f6d-a40c-0ec2cbb54264,e32d074e-30b5-4e20-828a-022b6c85812b,Door Left,box,2,-width/4,0,depth/2 + 0.01,width/2 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:06.676597+00
21178008-2a39-45d0-af83-6fbc6d974f25,7e845283-165b-4a1e-95e6-565adc87fc60,Main Body,box,1,0,0,0,width,height,depth,appliance_panel,#e8e8e8,,,1.00,,2025-10-08 20:13:51.848363+00
2199dabf-cb45-48b1-8fae-abdf69472153,3ff7c696-6065-470b-9911-08f56f31e8a6,Drawer,box,2,0,0,depth/2 + 0.01,width - 0.02,height/2,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
2472173c-2ac1-4ff7-8134-cf5d935179e8,bcc9bbc8-72b4-4c2a-bb58-5fd2516e1aa2,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,#DEB887,,,1.00,,2025-10-08 16:52:17.357255+00
248c6333-5d51-492d-af61-1cc41c631b6e,a8b66209-ccef-4e44-a761-df5f37ac640b,Front door,box,3,0,0,cornerDepth - legLength / 2 + 0.01,legLength - 0.05,height - 0.05,0.02,door,doorColor,,,1.00,,2025-10-08 11:23:36.663103+00
249897e2-9b7c-4b7b-8372-451fc48ac174,a8c47a62-5286-4dad-8773-494724766939,Door,box,3,0,plinthHeight / 2,depth / 2 + 0.01,width - 0.02,doorHeight,0.02,door,doorMaterial,,,1.00,,2025-10-08 15:51:04.652333+00
24a688c3-a7a6-480a-bba9-80f9850628c5,8a5b0df6-7d08-439e-b7a9-4251057e300b,Left Drawer,box,2,-width/3,0,depth/2 + 0.01,width/3 - 0.05,height * 0.6,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
24e8cca0-e708-4d02-a861-e9df75a9ca14,d7ccdbc2-01dd-4d96-911b-d0620f1f5dfb,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,#2F4F4F,,,1.00,,2025-10-08 16:52:38.215415+00
254b66bb-4c5f-42a0-8ed0-2f32baa765e6,e32d074e-30b5-4e20-828a-022b6c85812b,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,cabinetColor,,,1.00,,2025-10-08 16:52:06.676597+00
25bab2ec-9e4a-43e9-ac4e-c675c157e343,138cf90c-ba72-450e-a50e-f39da21ca44d,Button 2,box,10,0,height * 0.22,depth / 2 + 0.015,0.06,0.02,0.005,handle,#444444,,,1.00,,2025-10-08 20:13:51.848363+00
25e58f46-f58c-4c75-828a-021d33252678,0d0bc972-4fbb-465d-8189-5671631d717c,Cabinet,box,1,0,-height * 0.2,0,width,height * 0.6,depth,cabinet_body,cabinetColor,,,1.00,,2025-10-08 16:52:53.546878+00
262c0af5-e7d3-408d-b536-a9b1fbe80596,b3ad958f-cfc8-4067-a25a-aa78e43c7088,Left Panel,box,1,-width/4,0,0,width/2 - 0.01,height,depth,door,doorColor,,,1.00,,2025-10-08 16:53:07.709429+00
274b98ae-2d69-4076-b409-3e7b7cb4fa51,db3232db-8bc4-4f1a-bee6-19b52573b0ca,Leg 1,box,2,-width/2 + 0.05,-height * 0.25,-depth/2 + 0.05,0.08,height * 0.5,0.08,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:38.215415+00
276c0c93-57b7-4729-8362-df30fe683757,701c19a3-0083-41d2-aec8-96c540a1833d,door_side,box,6,cornerDepth - legLength/2 + 0.01,plinthHeight/2,0,0.02,doorHeight,legLength - 0.05,door,,,,1.00,,2025-10-08 10:51:01.108456+00
27b130ae-b227-40b9-b826-98c22c1b3e7d,b0d7edac-6808-4ff4-8d08-3c7db61bae29,Door Bottom,box,3,0,-height * 0.25,depth/2 + 0.01,width - 0.02,height * 0.45,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
27f95d6d-d54d-49a3-b5f5-7c2e4c1246dc,a8b66209-ccef-4e44-a761-df5f37ac640b,Cabinet Z-leg,box,2,cornerDepth / 2 - legLength / 2,0,0,cornerDepth,height,legLength,cabinet,cabinetMaterial,,,1.00,,2025-10-08 11:23:36.663103+00
293f03ce-731d-4045-bdcc-15aef52a3b2d,df17e13e-bd01-4b18-9e9e-f804d49c9db4,Panel,box,1,0,0,0,width,height,depth,door,cabinetColor,,,1.00,,2025-10-08 16:21:59.376939+00
296e0420-a33b-444a-a881-d8009bf48224,d889fc8d-f31d-440a-8c20-8a2d1d071bdc,Leg 3,box,4,-width/2 + 0.05,-height * 0.25,depth/2 - 0.05,0.08,height * 0.5,0.08,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:38.215415+00
2b2bb421-f7b3-4d70-9769-40b5b54fc79a,e7c2ceda-dd2b-44ee-b187-4e14baf4ff31,Plinth Leg 2,box,2,0.05,-height / 2 + plinthHeight / 2,legLength/2,depth - 0.10,plinthHeight,legLength,plinth,plinthColor,,,1.00,!isWallCabinet,2025-10-08 17:08:02.404343+00
2b466b23-75a9-41dd-aab3-a7ace3490956,7e845283-165b-4a1e-95e6-565adc87fc60,Display Screen,box,7,width * 0.2,height * 0.3,depth / 2 + 0.015,0.15,0.08,0.001,screen,#001400,0.90,0.10,1.00,,2025-10-08 20:13:51.848363+00
2d03d8df-a5ba-492d-949a-be2d0bb9a83f,14c10086-d77a-4bc6-93d3-c270e882af37,Left Panel,box,1,-width/4,0,0,width/2 - 0.01,height,depth,door,doorColor,,,1.00,,2025-10-08 16:53:07.709429+00
2d31cc93-e362-4052-b053-32f1a99748c1,d7d0dc73-dc02-4e5a-aee3-eac7a9198680,Oven Body,box,1,0,0,0,width,height,depth,cabinet_body,applianceColor,,,1.00,,2025-10-08 16:16:19.97502+00
2d3c5047-5c1d-46f3-bc50-6309a36740ee,de0b3647-27c0-412d-8fed-d1c60fecd422,Cabinet,box,1,0,0,0,width,height,depth,cabinet_body,#2F4F4F,,,1.00,,2025-10-08 16:51:41.19204+00
2d5c786f-ef47-432a-86ad-14e829ec2cf1,7ec9e418-9785-4b5a-a081-0a51e18b173c,Door 3,box,4,width/3,0,depth/2 + 0.01,width/3 - 0.02,height - 0.02,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:38.215415+00
2e0a3c2a-5a7f-4570-af20-872496d33e7f,db3232db-8bc4-4f1a-bee6-19b52573b0ca,Leg 3,box,4,-width/2 + 0.05,-height * 0.25,depth/2 - 0.05,0.08,height * 0.5,0.08,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:38.215415+00
2e108266-b361-4b8b-874e-3e7ebd6efe23,48071a77-2b2c-4f6a-944f-728720ac1bc6,Cabinet Body,box,2,0,0.075,0,width,height - 0.15,depth,cabinet_body,cabinetColor,,,1.00,,2025-10-08 16:16:19.97502+00
2f63a02b-a77c-4d35-a1c2-3f237a5d394f,a731b6a2-d8e5-4606-b949-d823467b0b9a,Body,box,1,0,0,0,width,height,depth,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:51:41.19204+00
2fe46952-a6ee-40ca-8fb2-d25f13465602,41a54846-e1a6-461c-8cb5-ad65c06c7b33,Basin,box,1,0,0,0,width - 0.10,height,depth - 0.10,handle,#F8F8F8,,,1.00,,2025-10-08 17:10:09.489775+00
303dfa9c-97f0-4ca4-b4b4-475ac5bce8a2,6633542b-1c9b-4ce6-8d44-e9923ca32628,Plinth,box,1,0,-height / 2 + 0.075,0,width,0.15,depth - 0.05,plinth,plinthColor,,,1.00,,2025-10-08 16:52:53.546878+00
3065d561-8953-47f0-9f09-d44ce56a2e8b,00eae6e3-db91-499a-be77-5e486cd3ceac,Door,box,3,0,0.075,depth / 2 + 0.01,width - 0.02,height - 0.17,0.02,door,doorColor,,,1.00,,2025-10-08 16:16:19.97502+00
31134589-0b91-4c47-846a-f37ea4d12456,9b93fa5d-fde1-4330-8f1d-84ecb01e0607,Drain,cylinder,5,width / 3,-height / 2 + 0.25,depth / 4,0.05,0.02,0.05,chrome,#808080,,,1.00,,2025-10-08 20:21:21.129584+00
3167c46a-17b6-4229-9e72-e3c10c6df768,14c10086-d77a-4bc6-93d3-c270e882af37,Right Panel,box,2,width/4,0,0,width/2 - 0.01,height,depth,door,doorColor,,,1.00,,2025-10-08 16:53:07.709429+00
31c213be-7e46-41e5-8125-8bb25b487ee2,7e771285-9a2d-4de8-a432-8b221345c781,Headboard,box,3,0,height * 0.5,-depth/2 + 0.05,width,height,0.10,door,#8B4513,,,1.00,,2025-10-08 16:50:52.815401+00
321a6e4d-f710-4545-a4d4-80eacedfbe5f,68fcf22e-52dc-4cd2-9bc4-47d888fb8752,Mattress,box,2,0,-height / 2 + 0.2 + 0.15,0,width - 0.1,0.3,depth * 2 - 0.1,mattress,#FFFFFF,,,1.00,,2025-10-08 20:13:16.422946+00
332ec446-13d8-4d4b-89a0-a75d6a18910e,7e845283-165b-4a1e-95e6-565adc87fc60,Drum,cylinder,5,0,-height * 0.1,depth / 2 - 0.1,0.18,0.2,0.18,drum_metal,#888888,,,1.00,isSelected,2025-10-08 20:13:51.848363+00
336463c5-e21d-4d2f-bb4d-838377b36560,138cf90c-ba72-450e-a50e-f39da21ca44d,Front Panel,box,2,0,0,depth / 2 + 0.005,width - 0.02,height - 0.02,0.01,appliance_panel,#f0f0f0,,,1.00,,2025-10-08 20:13:51.848363+00
337a1205-7803-4d2b-a06c-fb3bbe068877,ffbe3019-09c4-4a44-b159-67ba6a395b63,Frame,box,1,0,0,0,width,height,depth,door,#FFFFFF,,,1.00,,2025-10-08 16:53:07.709429+00
343c2cad-8979-4c2d-ac09-141546db8adf,678d0eca-8539-42b0-82c9-a41ea45b92db,Drawer 3,box,4,width/3,height * 0.3,depth/2 + 0.01,width/3 - 0.02,height * 0.2,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
3441a5e0-d2af-45c9-9c9d-ed68b7e8376c,751ae6aa-e99d-4ace-a49d-c9ff90dc5215,Drawer,box,2,0,0,depth/2 + 0.01,width - 0.02,height/2,0.02,door,doorColor,,,1.00,,2025-10-08 16:50:15.91125+00
