id,component_id,plan_view_type,plan_view_data,plan_view_svg,elevation_type,elevation_data,elevation_svg_front,elevation_svg_back,side_elevation_type,side_elevation_data,elevation_svg_left,elevation_svg_right,fill_color,stroke_color,stroke_width,created_at,updated_at,created_by
1871e9e3-1c88-4102-9a25-f93d16dff1b9,sink-60,sink-single,"{""has_drain"": true, ""bowl_style"": ""stainless"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#C0C0C0,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
1ad256f7-368d-4345-ba8e-0476eb6c8280,new-corner-wall-cabinet-90,corner-square,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
1d1912b4-f46b-4c4a-9d9d-27f3da916688,bookshelf-100,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
1ebcdfb7-4f15-4ea0-a8b5-02df87feea41,kitchen-sink-undermount-60,sink-single,"{""has_drain"": true, ""bowl_style"": ""stainless"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#C0C0C0,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
23467338-4834-4eb0-8f69-2aae1aa847b0,base-cabinet-60,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
246a35f9-26c6-4619-b6da-7903d8c8dbff,butler-sink-shallow-60,sink-single,"{""has_drain"": true, ""bowl_style"": ""ceramic"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#FFFFFF,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
276846be-125d-4155-a30e-a95c400ee0ec,chest-drawers-80,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
27b994a6-ad98-4dc3-9df2-d9aa4d4e0e72,bathroom-cabinet-40,rectangle,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
2816edb2-7fce-4e48-a6b7-92a0ce03ce86,utility-worktop-100,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
2c68db8b-870a-4baa-a4c7-448fca808c00,counter-top-60,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
2cdda2b9-f764-4cb0-b0d2-13c04f6a79ad,dining-bench-120,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
2e0007bb-5a04-4cbf-b710-c2ca465a489c,kitchen-sink-quartz-80,sink-single,"{""has_drain"": true, ""bowl_style"": ""stainless"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#C0C0C0,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
2e327d9f-9467-4354-b48e-fd6b3515bd0b,wall-cabinet-40,rectangle,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
2e36ff2d-d300-4929-b609-7179df0d3cfb,bedside-table-40,rectangle,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
2eef2029-30b5-483f-9e96-38de5484a508,butler-sink-80,sink-single,"{""has_drain"": true, ""bowl_style"": ""ceramic"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#FFFFFF,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
3a8ac55a-2385-4b52-98ca-98b00954fd69,skylight-80x120,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
3d2dbf44-5126-4088-a0e6-fea84a47d08a,desk-corner-120,corner-square,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
3e56e231-760b-4bfc-9f55-0ac507f877aa,door-single-80,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
40194b66-96cc-4bfc-8a17-e85db0c09a76,kitchen-sink-copper-60,sink-single,"{""has_drain"": true, ""bowl_style"": ""stainless"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#C0C0C0,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
411fda9f-ac53-4ba4-af3c-708f95e7a085,tall-unit-80,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
412f924a-cb94-4e4f-af90-2fe62f49fa5e,pan-drawers-30,rectangle,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
413f7e03-b54e-48a0-97a5-acef929c6d4c,wardrobe-2door-100,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
451e9a54-13a7-4832-9f24-eb3fffcc4472,sofa-2seater-140,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
48ce2d0a-17cb-4205-a7ea-7f01abb61012,sink-80,sink-single,"{""has_drain"": true, ""bowl_style"": ""stainless"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": false, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#C0C0C0,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
4a6e1144-457f-410c-848c-dcbb781820be,larder-coffee-machine,rectangle,{},,appliance,"{""has_handle"": true, ""has_display"": false, ""panel_style"": ""integrated""}",,,appliance,"{""has_handle"": true, ""has_display"": false, ""panel_style"": ""integrated""}",,,#808080,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
4a81952a-36f9-40dc-a4df-192bc9e2e737,larder-corner-unit-60,corner-square,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
4be86117-276d-495c-bf36-73169c5fb40f,dressing-stool,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
4ce0295b-a83b-4aec-af1b-5748a0395b07,linen-cupboard-60,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
4ee02ad3-f7d8-409a-838f-f3177756f5ad,vanity-table-120,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
